file_path,file_size,stream_type,buffer_size,file_sum,avg_time_100,avg_time_1000,avg_time_10000
data/comp_cast_type.csv,45,mmap_stream,20480,45,0.3602,3.7014,35.2395
data/kind_type.csv,85,mmap_stream,20480,85,0.6723,4.0804,35.2086
data/company_type.csv,92,mmap_stream,20480,92,0.3392,3.4815,34.8903
data/link_type.csv,261,mmap_stream,20480,261,0.3765,3.7753,36.3943
data/info_type.csv,1928,mmap_stream,20480,1928,0.3645,3.8273,35.0449
data/movie_link.csv,656584,mmap_stream,20480,13975,0.6818,3.8741,33.342
data/complete_cast.csv,2414495,mmap_stream,20480,15695,1.3498,5.4497,34.6196
data/keyword.csv,3791536,mmap_stream,20480,14720,1.3661,6.4148,36.893
data/company_name.csv,17802021,mmap_stream,20480,57180,1.3925,13.9906,47.0245
data/movie_info_idx.csv,35335875,mmap_stream,20480,43584,1.3813,14.303,51.2377
data/aka_title.csv,38858446,mmap_stream,20480,127662,1.3873,14.3061,56.9437
data/aka_name.csv,73004383,mmap_stream,20480,168475,1.4081,14.8147,84.6133
data/movie_companies.csv,93112104,mmap_stream,20480,114565,1.3817,14.7006,91.3239
data/movie_keyword.csv,93799307,mmap_stream,20480,69991,1.4133,14.5284,87.1953
data/person_info.csv,187108864,mmap_stream,20480,5257382,1.428,14.8311,132.7082
data/char_name.csv,215711567,mmap_stream,20480,359027,1.4048,14.6057,131.2129
data/name.csv,321191609,mmap_stream,20480,389129,1.4392,14.8301,136.6653
data/movie_info.csv,963782656,mmap_stream,20480,1605392,1.3998,14.8637,138.2556
data/cast_info.csv,1418137141,mmap_stream,20480,212747,1.4017,15.0583,138.5511
